iter	Passed	Remaining
0	143	71556
1	144	36010
2	146	24258
3	148	18383
4	150	14868
5	151	12501
6	153	10801
7	154	9514
8	156	8520
9	157	7711
10	158	7034
11	159	6472
12	159	5992
13	160	5579
14	161	5221
15	162	4905
16	162	4628
17	163	4384
18	164	4161
19	165	3960
20	165	3777
21	166	3612
22	166	3461
23	167	3321
24	168	3192
25	168	3073
26	169	2962
27	169	2858
28	170	2762
29	170	2672
30	171	2588
31	171	2509
32	171	2433
33	172	2362
34	172	2295
35	173	2232
36	173	2173
37	174	2118
38	174	2063
39	174	2012
40	175	1963
41	175	1916
42	176	1872
43	176	1829
44	176	1788
45	177	1750
46	177	1714
47	178	1678
48	178	1644
49	179	1611
50	179	1578
51	179	1547
52	180	1518
53	180	1490
54	180	1463
55	181	1437
56	181	1411
57	182	1387
58	182	1363
59	182	1340
60	183	1318
61	183	1297
62	184	1277
63	184	1257
64	185	1238
65	185	1219
66	185	1201
67	186	1184
68	186	1166
69	187	1150
70	187	1133
71	188	1118
72	188	1103
73	189	1088
74	189	1073
75	189	1059
76	190	1045
77	190	1031
78	191	1018
79	191	1005
80	191	992
81	192	980
82	192	968
83	193	957
84	193	945
85	194	934
86	194	923
87	195	912
88	195	903
89	196	893
90	196	883
91	196	873
92	197	863
93	197	854
94	198	845
95	198	836
96	199	827
97	199	818
98	199	809
99	200	800
100	200	792
101	201	784
102	201	776
103	201	768
104	202	761
105	202	753
106	203	746
107	203	739
108	204	732
109	204	725
110	205	718
111	205	711
112	205	705
113	206	698
114	206	692
115	207	686
116	207	679
117	208	673
118	208	667
119	209	661
120	209	655
121	209	650
122	210	644
123	210	639
124	211	633
125	211	628
126	212	622
127	212	617
128	212	612
129	213	606
130	213	601
131	214	596
132	214	592
133	215	587
134	215	582
135	215	578
136	216	573
137	216	568
138	217	563
139	217	559
140	218	555
141	218	551
142	219	547
143	219	543
144	220	539
145	220	534
146	221	530
147	221	526
148	221	522
149	222	518
150	222	514
151	223	511
152	223	507
153	224	503
154	224	499
155	225	496
156	225	492
157	226	489
158	226	486
159	227	482
160	227	479
161	227	475
162	228	472
163	228	468
164	229	465
165	229	461
166	229	458
167	230	455
168	230	451
169	231	448
170	231	445
171	231	442
172	232	438
173	232	435
174	233	432
175	233	429
176	234	427
177	234	424
178	234	421
179	235	418
180	235	415
181	236	412
182	236	409
183	236	406
184	237	404
185	237	401
186	238	398
187	238	396
188	239	393
189	239	390
190	239	388
191	240	385
192	240	382
193	241	380
194	241	377
195	242	375
196	242	372
197	242	370
198	243	367
199	243	365
200	243	362
201	244	360
202	244	358
203	245	355
204	245	353
205	246	351
206	246	348
207	246	346
208	247	344
209	247	341
210	248	339
211	248	337
212	248	335
213	249	333
214	249	331
215	250	328
216	250	326
217	250	324
218	251	322
219	251	320
220	252	318
221	252	316
222	252	314
223	253	312
224	253	310
225	254	308
226	254	306
227	254	304
228	255	302
229	255	300
230	256	298
231	256	296
232	256	294
233	257	292
234	257	290
235	258	288
236	258	286
237	258	284
238	259	283
239	259	281
240	259	279
241	260	277
242	260	275
243	261	274
244	261	272
245	262	270
246	262	268
247	262	267
248	263	265
249	263	263
250	264	262
251	264	260
252	265	258
253	265	257
254	266	255
255	266	254
256	267	252
257	267	250
258	267	249
259	268	247
260	268	245
261	268	244
262	269	242
263	269	241
264	270	239
265	270	237
266	270	236
267	271	234
268	271	233
269	272	231
270	272	230
271	273	228
272	273	227
273	273	225
274	274	224
275	274	222
276	275	221
277	275	220
278	276	218
279	276	217
280	276	215
281	277	214
282	277	212
283	278	211
284	278	210
285	278	208
286	279	207
287	279	205
288	280	204
289	280	203
290	280	201
291	281	200
292	281	198
293	282	197
294	282	196
295	282	194
296	283	193
297	283	192
298	284	191
299	284	189
300	285	188
301	285	187
302	285	185
303	286	184
304	286	183
305	287	181
306	287	180
307	287	179
308	288	178
309	288	176
310	289	175
311	289	174
312	289	173
313	290	171
314	290	170
315	291	169
316	291	168
317	292	167
318	292	166
319	292	164
320	293	163
321	293	162
322	294	161
323	294	160
324	295	158
325	295	157
326	295	156
327	296	155
328	296	154
329	297	153
330	297	151
331	298	150
332	298	149
333	299	148
334	299	147
335	300	146
336	300	145
337	301	144
338	301	143
339	302	142
340	302	141
341	302	139
342	303	138
343	303	137
344	304	136
345	304	135
346	305	134
347	305	133
348	306	132
349	306	131
350	306	130
351	307	129
352	307	128
353	308	127
354	308	126
355	309	125
356	309	124
357	310	123
358	310	122
359	311	120
360	311	119
361	311	118
362	312	117
363	312	116
364	313	115
365	313	114
366	314	113
367	314	112
368	315	111
369	315	110
370	316	109
371	316	108
372	317	107
373	317	106
374	317	105
375	318	104
376	318	104
377	319	103
378	319	102
379	319	101
380	320	100
381	320	99
382	321	98
383	321	97
384	322	96
385	322	95
386	322	94
387	323	93
388	323	92
389	323	91
390	324	90
391	324	89
392	325	88
393	325	87
394	325	86
395	326	85
396	326	84
397	327	83
398	327	82
399	327	81
400	328	81
401	328	80
402	329	79
403	329	78
404	329	77
405	330	76
406	330	75
407	331	74
408	331	73
409	331	72
410	332	71
411	332	71
412	333	70
413	333	69
414	333	68
415	334	67
416	334	66
417	335	65
418	335	64
419	336	64
420	336	63
421	336	62
422	337	61
423	337	60
424	337	59
425	338	58
426	338	57
427	339	57
428	339	56
429	339	55
430	340	54
431	340	53
432	341	52
433	341	51
434	342	51
435	342	50
436	342	49
437	343	48
438	343	47
439	344	46
440	344	46
441	345	45
442	345	44
443	345	43
444	346	42
445	346	41
446	347	41
447	347	40
448	348	39
449	348	38
450	348	37
451	349	37
452	349	36
453	350	35
454	350	34
455	350	33
456	351	33
457	351	32
458	352	31
459	352	30
460	352	29
461	353	29
462	353	28
463	354	27
464	354	26
465	355	25
466	355	25
467	356	24
468	356	23
469	357	22
470	357	22
471	358	21
472	358	20
473	359	19
474	359	18
475	360	18
476	360	17
477	361	16
478	361	15
479	361	15
480	362	14
481	362	13
482	363	12
483	363	12
484	364	11
485	364	10
486	365	9
487	365	8
488	365	8
489	366	7
490	366	6
491	367	5
492	367	5
493	368	4
494	368	3
495	368	2
496	369	2
497	369	1
498	370	0
499	370	0
